"","X.Cuvash.","X.Karachai.","X.Kazakh.","X.Khakass.","X.Kirghiz.","X.SouthAltaic.","X.Tatar.","X.Turkish.","X.Turkmen.","X.Tuvan.","X.Uzbek.","X.Yakut."
"305","0","1","1","0","1","0","0","0","1","0","1","0"
"306","1","1","1","1","1","1","1","1","1","0","1","0"
"307","0","0","0","1","1","0","0","1","0","0","0","0"
"308","0","1","1","1","1","1","1","1","1","1","1","1"
"309","0","0","1","0","1","0","0","1","1","1","0","0"
"310","1","1","1","1","1","1","1","1","1","1","1","0"
"311","0","0","0","0","0","0","1","1","1","0","1","0"
"312","1","1","0","0","1","0","1","0","0","0","0","0"
"313","1","1","1","1","1","1","1","1","1","1","1","1"
"314","0","0","0","0","0","0","0","0","0","0","1","1"
"315","1","0","1","0","1","1","1","1","0","1","1","0"
"316","1","1","1","1","1","1","1","1","1","0","1","1"
"317","0","1","1","1","1","0","1","0","1","1","1","0"
"318","1","1","1","1","1","1","1","1","1","1","1","1"
"319","0","0","0","0","0","0","0","1","0","0","0","0"
"320","1","1","1","1","1","1","1","1","1","0","1","0"
"321","1","1","1","1","1","1","1","1","1","1","1","1"
"322","1","1","1","0","1","0","1","1","1","0","1","0"
"323","1","0","1","0","1","1","1","0","1","1","1","0"
"324","1","1","1","0","1","0","1","1","0","0","1","1"
"325","1","1","1","1","1","1","1","1","1","1","1","1"
"326","1","1","1","0","1","1","1","1","0","0","1","1"
"327","1","0","0","1","0","0","0","1","0","0","0","0"
"328","0","1","1","0","1","1","1","1","1","1","1","0"
"329","1","0","0","1","1","0","0","0","0","1","0","1"
"330","1","1","1","1","0","0","1","1","0","0","0","1"
"331","0","0","1","0","1","1","1","0","0","1","1","0"
"332","0","1","0","0","1","0","0","0","0","1","1","0"
"333","0","0","1","1","1","0","1","0","0","1","1","1"
"334","0","0","1","1","1","0","0","0","0","0","1","0"
"335","0","0","1","0","1","0","0","0","0","0","0","0"
"336","0","0","0","1","1","0","0","0","0","1","0","1"
"337","1","1","1","0","1","0","1","1","1","0","1","0"
"338","0","1","1","0","1","0","1","1","1","0","1","0"
"339","0","1","1","0","1","0","0","0","0","1","1","0"
"340","0","0","0","1","0","0","0","0","0","1","0","0"
"341","0","0","0","0","0","0","0","0","0","1","0","1"
"342","0","0","1","0","0","0","0","1","1","0","1","0"
"343","0","1","1","1","1","0","1","0","1","0","1","0"
"344","0","1","1","1","1","0","1","0","1","0","0","0"
"345","0","0","0","1","0","0","0","0","0","1","0","0"
"346","1","0","0","0","0","0","0","0","1","0","0","0"
"347","0","1","1","0","1","0","1","1","1","0","1","0"
"348","0","0","0","1","0","0","0","0","0","1","0","0"
"349","0","0","0","1","1","0","0","0","0","0","0","0"
"350","1","1","0","0","0","0","0","1","1","0","0","0"
"351","1","1","1","0","1","0","1","1","0","1","1","0"
"352","0","0","0","0","0","0","0","0","0","0","0","0"
"353","1","1","1","1","1","0","1","1","0","1","1","1"
"354","0","1","1","0","1","0","1","1","1","0","1","0"
"355","0","1","1","0","1","0","0","0","1","1","1","0"
"356","1","0","1","0","0","0","0","1","1","0","0","0"
"357","1","1","1","0","1","0","1","1","1","1","1","0"
"358","1","1","1","1","1","0","1","1","1","1","1","0"
"359","1","1","1","0","1","0","1","1","1","0","1","0"
"360","1","1","1","0","0","0","0","0","0","0","0","0"
"361","1","1","1","0","1","0","1","1","1","1","1","0"
"362","1","0","1","0","1","0","1","1","1","0","1","0"
"363","0","1","1","0","1","0","1","1","1","0","1","0"
"364","0","0","0","0","0","0","0","0","0","1","0","1"
"365","1","0","1","0","0","0","1","0","0","0","0","0"
"366","1","0","0","0","0","0","0","1","1","0","1","0"
"367","1","1","1","0","1","0","0","1","1","0","1","0"
"368","0","0","1","0","1","0","0","0","0","0","0","0"
"369","0","0","0","0","0","0","0","1","1","0","1","0"
"370","1","1","1","0","0","0","1","1","1","1","1","0"
"371","0","1","0","0","1","0","0","0","0","0","1","1"
"372","1","1","1","1","1","0","1","0","0","0","1","0"
"373","0","1","0","0","0","0","0","1","1","0","1","0"
"374","1","0","0","0","0","0","0","1","0","1","1","1"
"375","0","0","0","1","0","0","0","0","0","1","0","0"
"376","0","1","1","0","1","0","1","0","1","0","1","0"
"377","0","0","0","0","0","0","0","1","0","0","0","0"
"378","0","1","1","1","1","0","1","1","1","1","0","1"
